workerID,Name,jobTitle,license1,license2,noLicense,shift,level,availability,orderNo,matchingWorker
D159869,John Almond,Crane Operator,Tower Crane,Truck,K18910A,0800 - 1800,3,0,25721,K832018
D159869,John Almond,Crane Operator,Tower Crane,Truck,K18910A,0800 - 1800,3,0,25721,J832937
U182018,Jessie Pinkman,Driver,Truck,,K81038B,0000 - 1000,2,0,25721,G279172
U182018,Jessie Pinkman,Driver,Truck,,K81038B,0000 - 1000,2,0,25721,U471956
D123801,Josh Nichols,Driver,Truck,,K78017A,1600 - 0200,2,0,25721,J2018829
D123801,Josh Nichols,Driver,Truck,,K78017A,1600 - 0200,2,0,25721,U271900
J8021921,George Truong,Crane Operator,Tower Crane,Truck,J73972B,1600 - 0200,3,0,25721,J2018829
J8021921,George Truong,Crane Operator,Tower Crane,Truck,J73972B,1600 - 0200,3,0,25721,U271900
K825784,Jorge Martínez,Telehandler Operator,Telehandler,Truck,K64155A,0800 - 1800,2,0,25721,K832018
K825784,Jorge Martínez,Telehandler Operator,Telehandler,Truck,K64155A,0800 - 1800,2,0,25721,J832937
J832947,Dieter Braun,Crane Operator,Tower Crane,Truck,K64884U,0000 - 1000,3,0,25721,G279172
J832947,Dieter Braun,Crane Operator,Tower Crane,Truck,K64884U,0000 - 1000,3,0,25721,U471956
