workerID,Name,jobTitle,license1,license2,noLicense,projectNo,shift,level,availability,orderNo
D382910,James ,Telehandler Operator,TELEHANDLER,Truck,K13710Z,DZ1800K,0800 - 1800,2,1,25721
D830291,Jacob,Crane Operator,Tower Crane,Truck,K28197C,DK1829B,0800 - 1800,3,1,25721
G279172,Max Verstappen,Crane Operator,Tower Crane,Truck,L27187Y,DZ1800K,0000 - 1000,3,0,25721
J2018829,Nikita Mazespin,Crane Operator,Tower Crane,Truck,J71977A,DZ1800K,1600 - 0200,3,0,25721
U192797,Daniel Ric,Telehandler Operator,TELEHANDLER,Truck,J81087B,DZ1800K,0000 - 1000,2,1,25721
U271900,Alberto Ascari,Crane Operator,Tower Crane,Truck,J38191K,DK1829B,1600 - 0200,3,0,25721
K832018, Jim Clark,Telehandler Operator,TELEHANDLER,Truck,K83917G,DK1837A,0800 - 1800,2,0,25721
U471956,Nico Rosberg,Crane Operator,Tower Crane,Truck,J83927A,DZ7382K,0000 - 1000,3,0,25721
U838201,Jackie Stewart,Crane Operator,Tower Crane,Truck,K83717A,DZ7382K,0000 - 1000,3,1,25721
J839163,Lewis Hamilton,Crane Operator,Tower Crane,Truck,J83717B,DZ7382K,1600 - 0200,3,1,25721
K839171,Keke Rosberg,Telehandler Operator,TELEHANDLER,Truck,K83827A,DK1837A,0800 - 1800,2,1,25721
J838172,Giuseppe Farina,Telehandler Operator,TELEHANDLER,Truck,K83817A,DZ7382K,0800 - 1800,2,1,25721
U819726,Damon Hill,Crane Operator,Tower Crane,Truck,J86942A,DK1837A,1600 - 0200,3,1,25721
J832937,Cameron,Crane Operator,Tower Crane,Truck,J83939B,DK1837A,0800 - 1800,3,0,25721
